SRX1423999	SRX1423983	SRX1424106	SRX1423989	SRX1424093	SRX1424222	SRX1424217	SRX1424218	SRX1423995	SRX1424224	SRX1424344	SRX1424355	SRX1424115	SRX1424227	SRX1424330	SRX1424114	SRX1424336	SRX1424111	SRX1424220	SRX1424211	SRX1423972	SRX1424215	SRX1424327	SRX1424226	SRX1424105	SRX1424103	SRX1424101	SRX1424108	SRX1423985	SRX1424352	SRX1424177	SRX1424311	SRX1424087	SRX1424292	SRX1423946	SRX1424193	SRX1423939	SRX1423936	SRX1424197	SRX1424203	SRX1424176	SRX1424318	SRX1424304	SRX1424174	SRX1424301	SRX1424191	SRX1423960	SRX1424291	SRX1423935	SRX1424306	SRX1424088	SRX1424171	SRX1424314	SRX1424308	SRX1424199	SRX1424058	SRX1424055	SRX1424186	SRX1423968	SRX1424067
LOC_Os01g01307	2.9877259643908	2.42136631590591	3.35469870100401	2.94330549526288	2.09261001023109	2.66898684132087	1.86542635393251	2.82726866357409	3.26281362654404	3.47554693842169	2.76669586066075	2.6012396303262	3.22412102211936	2.95678636741507	2.85032557978614	2.9605448857926	2.23242775807508	3.11039632005605	2.85944642675862	1.95749788367179	2.17857793316951	2.51308643113416	2.31036019022211	2.99948270109647	3.38027160828359	2.48302944734957	2.64592779678868	2.81183165921335	2.80741304088715	2.5892483864615	3.04309353391161	2.78399298157133	3.4325234604982	2.93685367938638	2.92705106357758	2.82061849612333	3.34881637720328	3.09268459214513	3.17051590448235	3.24440394933474	3.57724270081615	3.19379255589633	2.92116684768221	3.38046099582229	3.33248596348233	2.60808392874195	2.73478222727592	3.14804820975825	2.38204716176741	3.39577971759189	2.84007524024953	2.79375420647615	2.99363451274966	3.13078856959928	3.41054259563479	1.82317542847427	3.51864113414806	3.14250476754548	3.23253750853467	2.94432792364379
LOC_Os01g01390	1.69410371368407	0.945550024189262	2.35841426739863	1.27948199324054	1.18888701637269	1.63715671013634	0.995873767895047	1.70236321244518	2.05174482230137	2.07423379228061	1.71199833038804	1.9233804496301	1.6253714978739	1.72556667036207	1.69633663508529	1.82771660995402	1.51952831792007	1.88511395601463	1.74668339038765	0.902734269184358	0.558727067836838	1.17969193314426	0.804146100011074	2.17695461129231	1.73642477070823	1.3903826398463	1.44810328495051	1.84808066058588	1.38480191261398	1.70711127096855	1.94613906540481	1.74562974344842	2.3854536783543	1.74574632756011	2.16766942887766	2.12357316974962	2.35332583211083	2.18344649638646	2.13517168779413	2.4348067438485	2.58515172181121	2.5408029805684	1.8880457168234	1.8196403919362	2.33205653329899	1.98463345988396	1.9047804100372	1.90279561463216	1.37558053170198	2.45035242805996	1.86992192922334	2.05385995306865	2.09319709053463	2.63125844105699	2.26817625443431	1.10051819894952	1.9916961607228	1.92841163704402	2.57041605481956	1.74217613265214
LOC_Os01g01510	2.2595912761175	0.493563310936623	1.5940396948485	1.39616935549486	0.831443556998859	1.1886882955192	1.02292880133924	1.2309592153599	2.10345198301218	1.89895746921347	1.30632640993617	2.20254874148704	2.14010753201417	1.97833366775542	0.999436517559424	2.09928544044098	0.023134679033724	2.01025206667334	1.3540853748983	1.09656480070293	-0.486505211839498	1.12177800364601	-0.429035855953335	2.49471435943009	1.43449052291173	1.3960591766221	0.839674244164443	1.88523698026562	0.584234236843142	1.28302684612656	1.0875639960857	1.47075185423385	1.63370275092502	0.801301055692476	1.26733083991602	2.04038959097603	1.11068929969446	0.846298335868322	1.9233838727438	2.53893218159725	1.2122350057294	1.92397899071437	0.8379795610293	0.0661443132749056	1.23957645787477	2.00656732577855	1.99489067565647	0.956343675552689	-0.517740270722262	1.34100426699888	1.58993506642436	1.37185768559172	1.5660835160504	0.962358008189516	2.18153640745949	-0.650236167843762	0.571546731013219	1.04785941725151	1.86411877603397	1.01732689624732
LOC_Os01g01610	0.650739748224513	1.3094806466767	1.12668349554347	0.545035256368794	2.03861317135915	1.30416580505259	1.25120038647492	2.17057599090853	1.25511999270262	2.12441813518826	1.15749132902458	0.557225774195886	0.596321687741984	-0.0165149206832683	2.90875508351719	0.620661475558019	0.660135468652318	1.12475690907127	1.99774185862883	2.33778500873432	2.08702385571942	1.81690561964805	2.24107227026181	2.03616358784911	1.557662506019	1.13022252373689	1.97193857988981	1.4572212913467	0.885488463868546	0.707797755134752	0.546832738993452	-0.299457299303938	0.231221027079759	0.935664916510565	-0.919072240314924	NA	0.0210020665383399	-0.0174900658075492	-0.43018424097505	-0.248577413583001	-0.145507975534009	-0.105108527769574	-0.216239961068014	0.40436582523647	-1.67768877618705	0.170198125848426	-0.660511392956635	0.703994574532246	NA	0.879507382074939	0.0548901426767216	-0.292952358003874	-0.670378078122508	0.61680840996763	-0.462381878802406	-0.708544962338795	-0.416661926280641	0.593647300274304	NA	-0.83650126771712
LOC_Os01g01740	0.0146009587398192	0.496105402668158	0.350250553429789	-1.14217183914564	-0.03240787051923	0.440594003858738	-0.400270882594866	0.305488472369244	0.281720798986491	1.02179097483271	-0.710545583079032	-0.597574686562814	-0.44432910318009	-0.518455118514247	0.80773491910239	-0.383796650454988	0.047025990978585	-0.624076450171105	0.219177815648588	0.188743990748414	0.21398177246127	-0.719675523076465	-0.622305395393451	0.0844262541642318	-0.509203984811932	-0.301866885610057	-1.63666517436954	-0.977627925478642	-0.837279502407035	0.320170399103094	0.678792171122227	0.179335240958723	-0.0213020776677554	0.69430522832677	0.0561589806341553	0.178102700372968	0.799360065729695	1.09342563553434	0.457228647218442	0.914646414203894	0.992589351476537	1.15848245280513	1.65791571423668	0.642251482425782	-0.78886068045761	-0.512933554532512	1.58405812842928	0.706147698554658	0.766089652900586	1.427278445349	0.451063899963872	0.996012656618615	0.311757686249312	0.707931126641173	0.592584766188075	-1.72193910420878	0.127001921249694	1.05814467821943	1.38182102926715	-0.602297783927356
LOC_Os01g02040	-0.529233050880046	-1.04728176623945	0.0548623656896903	-0.913911938166363	-1.32070232498105	-0.519978967431574	-1.17462790941767	-0.166734225371354	0.202321172973064	0.640878165666486	-0.978742024041208	-0.127494282754755	-0.543677458022489	0.0476933288219182	1.00510962288471	-0.0968151533452519	-2.61974044575169	-0.289345845806023	0.213700640410943	-1.53379785571134	-2.51290061647757	-2.06913703518472	-0.987897640843079	0.221100012260579	-0.091463747394533	-0.534286680404036	-0.867123134280614	-0.696374706023062	-2.98257403686553	-0.202943845749728	-0.962331024729707	-0.155366888370275	-0.547992937967901	-0.528947839270314	-1.03265724644137	-0.229377279395952	-0.298401264636452	-0.24039587095839	-0.298546756270388	0.409275787505387	-0.348726452302775	0.319665329652946	0.395536671690109	-1.70483653230125	-0.933440955067621	-0.665722351971722	0.377395877676412	-0.0978445898732883	-0.8536601982664	0.307290952560539	0.300007718435874	-1.79475263969352	-0.110252351982599	-0.808010415170075	0.731674195795935	-2.73507209780313	-0.101766877084853	0.0613739146724067	0.825793766765052	-1.48252070585763
LOC_Os01g02080	5.73220800036075	5.38256665480172	5.74069732580263	6.0786772459845	5.88445738080098	5.62530775461822	5.78326653506894	5.82090191617426	6.07341167600388	5.81764016559359	5.26773196429087	5.80182093808039	6.00865618576326	5.74183130853453	5.83113237413132	5.79344495688382	5.79458731591876	5.58430171531314	5.63925303354624	5.97889083475403	5.58648145981412	5.40992215744822	5.53676726159889	5.93611102945036	5.98762304068758	5.723178889416	5.96477764799291	6.00042059699951	5.14070651922732	5.29960601907512	5.21445446547762	5.48786015907757	4.5804948372876	4.45429212023029	5.33128436906873	5.60337926323072	5.26240861386636	4.92776540139733	5.29992737286241	5.31549732534966	5.2667410857169	5.1259918171345	5.07542853260057	5.09231938303189	5.52744191178346	5.23441226067155	5.23034137262432	5.0358508964192	4.36824375796384	5.2999472216381	5.50305864033396	5.1852984713978	5.32795989140403	5.13506293707064	5.0711796738983	4.08097524298807	4.98639245771458	5.34896852437325	5.64935750397178	5.26516145093122
LOC_Os01g02910	-1.20527057001699	-2.03270151886201	-1.65851515693177	-2.77827384539813	-2.12745645943092	-2.32201465918677	-2.30663749599723	-0.754290169756267	-1.70989177327308	-0.911950695135443	-3.09045882076798	-1.36842816924851	-2.15209286392937	-2.22551104911962	-1.08659928609564	-1.83250847178318	-1.54669209101788	-2.27017318158421	-0.401463282343756	-2.09470456013047	-3.621204304769	-3.06891910541982	-2.24172070450894	-1.63409698016157	-2.00453140060388	-2.69996298620569	-3.24043847858358	-2.2296191574264	-3.66644803241482	-1.48817575871402	-1.95436132806931	-2.35846876786057	-1.71241896015208	-1.0172184771435	-2.87239313140907	-1.72133006092791	-1.64867019040876	-2.0227889611078	-1.26563590935812	-1.04679586027422	-0.900222743347565	-2.53210704804909	-0.989638352820811	NA	-2.60997512269192	-2.56330937605162	-2.03318565264412	-1.18421801822535	-2.43419228401669	-0.534382793629973	-1.99629415203503	-2.71440602641789	-3.6274668457952	-2.73618674911337	-1.19670682433429	-4.2726040195747	-1.58386935213116	-2.13267914780263	-1.07092105899144	NA
LOC_Os01g03320	3.91310415608472	1.6816134285981	1.88709395743257	1.36490575438899	-0.0270074436269612	2.14663469582449	2.62373227581399	-0.756438150352254	4.04705103917436	0.586679247782454	2.83209889668778	3.58295792665906	1.38677618896459	3.59340158112565	0.741538607016422	1.44672258178464	1.49753879204307	2.24165503090402	-0.0216710919582989	0.92129007342045	-0.871872921088669	3.13544473954744	1.13999199262331	4.25026847397437	3.01392956371077	0.672149223322455	1.20900099032116	2.78273711808398	4.31626842409503	1.10239341704643	0.808434478333256	0.492009027206604	-0.501483598884689	-1.19642246018763	0.0321953736325533	1.62057139696195	1.12145775961571	-1.98863031622735	1.66648029500865	1.82268324684868	1.95727276295273	0.746568171790923	0.867066972371866	-2.89748967267245	0.0696609265444734	2.55641004040945	2.07885743511115	-1.52037621827212	0.0803138312176856	0.99932610404895	0.885635272538023	-0.575643279605293	0.847122207951665	2.07297012926936	0.731554296732187	-1.14440251398902	-0.476962025563039	1.15132176412401	0.915123889881041	-0.822054151245237
LOC_Os01g03330	-2.10425688098484	-1.99951533588527	-2.41457591071599	-2.17765978925901	-2.73190580875009	-0.972642088429238	-1.61378501241272	-2.77034809561447	0.870706388224424	-3.61103241656066	1.37366491393023	1.34675156544009	-4.2272866407723	-0.145562233547331	0.4319609306016	-3.03169244515714	-1.96399892760258	-2.70999088783481	-0.745108499805011	-1.49946713918685	-3.34913252618155	-1.45863583116617	-1.41175573718877	1.51378733926298	-1.5744590558297	-2.41471437177861	-3.74502870465842	-1.7889130251244	-0.107933884220392	-1.82023419164185	-0.341069234565932	-1.61544174662786	-3.22226931661202	-2.17225900494289	-3.18904859766287	-2.18339537868553	-0.806778319955677	-2.40263378274307	-2.78694019708864	-2.39947903387115	-0.739991210717993	-2.14186937033324	-0.762372652769868	-0.976233672797196	-2.2306209303121	-2.1663537056858	-0.657996041351295	-0.733557648703439	-2.083556986991	-0.243497583574005	-1.24906426385047	-0.104379400288418	-2.27765988895423	0.279802884243084	-4.01608594883946	-2.49994854750472	-1.42929226876766	-0.0168841720600758	-1.31680122097232	-4.51585980596507
